Participant,Session,List,Task,Word,Block,Score
3,1,B,Adaptive,apreri,2,0
3,1,B,Adaptive,apreri,3,1
3,1,B,Adaptive,apreri,4,1
3,1,B,Adaptive,apreri,5,1
3,1,B,Adaptive,fiante,1,0
3,1,B,Adaptive,fiante,2,0
3,1,B,Adaptive,fiante,3,1
3,1,B,Adaptive,fiante,4,0
3,1,B,Adaptive,fiante,5,0
3,1,B,Adaptive,fiani,1,1
3,1,B,Adaptive,fiani,2,1
3,1,B,Adaptive,fiani,3,1
3,1,B,Adaptive,fiani,4,1
3,1,B,Adaptive,fiani,5,1
3,1,B,Adaptive,fianca,1,0
3,1,B,Adaptive,fianca,2,0
3,1,B,Adaptive,fianca,3,1
3,1,B,Adaptive,fianca,4,1
3,1,B,Adaptive,fianca,5,1
3,1,B,Adaptive,fipito,1,0
3,1,B,Adaptive,fipito,2,1
3,1,B,Adaptive,fipito,3,1
3,1,B,Adaptive,fipito,4,1
3,1,B,Adaptive,fipito,5,1
3,1,B,Adaptive,fiato,1,0
3,1,B,Adaptive,fiato,2,1
3,1,B,Adaptive,fiato,3,1
3,1,B,Adaptive,fiato,4,1
3,1,B,Adaptive,fiato,5,0
3,1,B,Adaptive,fimuto,1,0
3,1,B,Adaptive,fimuto,2,0
3,1,B,Adaptive,fimuto,3,0
3,1,B,Adaptive,fimuto,4,1
3,1,B,Adaptive,fimuto,5,1
3,1,B,Adaptive,canto,1,0
3,1,B,Adaptive,canto,2,1
3,1,B,Adaptive,canto,3,1
